"cid_hex","glyph","uname"
"u/8c","","partial line backward"
"u/8d","","reverse line feed"
"u/8e","","single shift two"
"u/8f","","single shift three"
"u/90","","device control string"
"u/91","","private use one"
"u/92","","private use two"
"u/93","","set transmit state"
"u/94","","cancel character"
"u/95","","message waiting"
"u/96","","start of guarded area"
"u/97","","end of guarded area"
"u/98","","start of string"
"u/9a","","single character introducer"
"u/9b","","control sequence introducer"
"u/9c","","string terminator"
"u/9d","","operating system command"
"u/9e","","privacy message"
"u/9f","","application program command"
"u/a1","¡","inverted exclamation mark"
"u/a2","¢","cent sign"
"u/a3","£","pound sign"
"u/a4","¤","currency sign"
"u/a5","¥","yen sign"
"u/a6","¦","broken bar"
"u/a7","§","section sign"
"u/a8","¨","diaeresis"
"u/a9","©","copyright sign"
"u/aa","ª","feminine ordinal indicator"
"u/ab","«","left-pointing double angle quotation mark"
"u/ac","¬","not sign"
"u/ad","­","soft hyphen"
"u/ae","®","registered sign"
"u/af","¯","macron"
"u/b0","°","degree sign"
"u/b1","±","plus-minus sign"
"u/b2","²","superscript two"
"u/b3","³","superscript three"
"u/b4","´","acute accent"
"u/b5","µ","micro sign"
"u/b6","¶","pilcrow sign"
"u/b7","·","middle dot"
"u/b8","¸","cedilla"
"u/b9","¹","superscript one"
"u/ba","º","masculine ordinal indicator"
"u/bb","»","right-pointing double angle quotation mark"
"u/bc","¼","vulgar fraction one quarter"
"u/bd","½","vulgar fraction one half"
"u/be","¾","vulgar fraction three quarters"
"u/bf","¿","inverted question mark"
"u/c0","À","latin capital letter a with grave"
"u/c1","Á","latin capital letter a with acute"
"u/c2","Â","latin capital letter a with circumflex"
"u/c3","Ã","latin capital letter a with tilde"
"u/c4","Ä","latin capital letter a with diaeresis"
"u/c5","Å","latin capital letter a with ring above"
"u/c6","Æ","latin capital letter ae"
"u/c7","Ç","latin capital letter c with cedilla"
"u/c8","È","latin capital letter e with grave"
"u/c9","É","latin capital letter e with acute"
"u/ca","Ê","latin capital letter e with circumflex"
"u/cb","Ë","latin capital letter e with diaeresis"
"u/cc","Ì","latin capital letter i with grave"
"u/cd","Í","latin capital letter i with acute"
"u/ce","Î","latin capital letter i with circumflex"
"u/cf","Ï","latin capital letter i with diaeresis"
"u/d0","Ð","latin capital letter eth"
"u/d1","Ñ","latin capital letter n with tilde"
"u/d2","Ò","latin capital letter o with grave"
"u/d3","Ó","latin capital letter o with acute"
"u/d4","Ô","latin capital letter o with circumflex"
"u/d5","Õ","latin capital letter o with tilde"
"u/d6","Ö","latin capital letter o with diaeresis"
"u/d7","×","multiplication sign"
"u/d8","Ø","latin capital letter o with stroke"
"u/d9","Ù","latin capital letter u with grave"
"u/da","Ú","latin capital letter u with acute"
"u/db","Û","latin capital letter u with circumflex"
"u/dc","Ü","latin capital letter u with diaeresis"
"u/dd","Ý","latin capital letter y with acute"
"u/de","Þ","latin capital letter thorn"
"u/df","ß","latin small letter sharp s"
"u/e0","à","latin small letter a with grave"
"u/e1","á","latin small letter a with acute"
"u/e2","â","latin small letter a with circumflex"
"u/e3","ã","latin small letter a with tilde"
"u/e4","ä","latin small letter a with diaeresis"
"u/e5","å","latin small letter a with ring above"
"u/e6","æ","latin small letter ae"
"u/e7","ç","latin small letter c with cedilla"
"u/e8","è","latin small letter e with grave"
"u/e9","é","latin small letter e with acute"
"u/ea","ê","latin small letter e with circumflex"
"u/eb","ë","latin small letter e with diaeresis"
"u/ec","ì","latin small letter i with grave"
"u/ed","í","latin small letter i with acute"
"u/ee","î","latin small letter i with circumflex"
"u/ef","ï","latin small letter i with diaeresis"
"u/f0","ð","latin small letter eth"
"u/f1","ñ","latin small letter n with tilde"
"u/f2","ò","latin small letter o with grave"
"u/f3","ó","latin small letter o with acute"
"u/f4","ô","latin small letter o with circumflex"
"u/f5","õ","latin small letter o with tilde"
"u/f6","ö","latin small letter o with diaeresis"
"u/f7","÷","division sign"
"u/f8","ø","latin small letter o with stroke"
"u/f9","ù","latin small letter u with grave"
"u/fa","ú","latin small letter u with acute"
"u/fb","û","latin small letter u with circumflex"
"u/fc","ü","latin small letter u with diaeresis"
"u/fd","ý","latin small letter y with acute"
"u/fe","þ","latin small letter thorn"
"u/ff","ÿ","latin small letter y with diaeresis"
"u/100","Ā","latin capital letter a with macron"
"u/101","ā","latin small letter a with macron"
"u/102","Ă","latin capital letter a with breve"
"u/103","ă","latin small letter a with breve"
"u/104","Ą","latin capital letter a with ogonek"
"u/105","ą","latin small letter a with ogonek"
"u/106","Ć","latin capital letter c with acute"
"u/107","ć","latin small letter c with acute"
"u/108","Ĉ","latin capital letter c with circumflex"
"u/109","ĉ","latin small letter c with circumflex"
"u/10a","Ċ","latin capital letter c with dot above"
"u/10b","ċ","latin small letter c with dot above"
"u/10c","Č","latin capital letter c with caron"
"u/10d","č","latin small letter c with caron"
"u/10e","Ď","latin capital letter d with caron"
"u/10f","ď","latin small letter d with caron"
"u/110","Đ","latin capital letter d with stroke"
"u/111","đ","latin small letter d with stroke"
"u/112","Ē","latin capital letter e with macron"
"u/113","ē","latin small letter e with macron"
"u/114","Ĕ","latin capital letter e with breve"
"u/115","ĕ","latin small letter e with breve"
"u/116","Ė","latin capital letter e with dot above"
"u/117","ė","latin small letter e with dot above"
"u/118","Ę","latin capital letter e with ogonek"
"u/119","ę","latin small letter e with ogonek"
"u/11a","Ě","latin capital letter e with caron"
"u/11b","ě","latin small letter e with caron"
"u/11c","Ĝ","latin capital letter g with circumflex"
"u/11d","ĝ","latin small letter g with circumflex"
"u/11e","Ğ","latin capital letter g with breve"
"u/11f","ğ","latin small letter g with breve"
"u/120","Ġ","latin capital letter g with dot above"
"u/121","ġ","latin small letter g with dot above"
"u/122","Ģ","latin capital letter g with cedilla"
"u/123","ģ","latin small letter g with cedilla"
"u/124","Ĥ","latin capital letter h with circumflex"
"u/125","ĥ","latin small letter h with circumflex"
"u/126","Ħ","latin capital letter h with stroke"
"u/127","ħ","latin small letter h with stroke"
"u/128","Ĩ","latin capital letter i with tilde"
"u/129","ĩ","latin small letter i with tilde"
"u/12a","Ī","latin capital letter i with macron"
"u/12b","ī","latin small letter i with macron"
"u/12c","Ĭ","latin capital letter i with breve"
"u/12d","ĭ","latin small letter i with breve"
"u/12e","Į","latin capital letter i with ogonek"
"u/12f","į","latin small letter i with ogonek"
"u/130","İ","latin capital letter i with dot above"
"u/131","ı","latin small letter dotless i"
"u/132","Ĳ","latin capital ligature ij"
"u/133","ĳ","latin small ligature ij"
"u/134","Ĵ","latin capital letter j with circumflex"
"u/135","ĵ","latin small letter j with circumflex"
"u/136","Ķ","latin capital letter k with cedilla"
"u/137","ķ","latin small letter k with cedilla"
"u/138","ĸ","latin small letter kra"
"u/139","Ĺ","latin capital letter l with acute"
"u/13a","ĺ","latin small letter l with acute"
"u/13b","Ļ","latin capital letter l with cedilla"
"u/13c","ļ","latin small letter l with cedilla"
"u/13d","Ľ","latin capital letter l with caron"
"u/13e","ľ","latin small letter l with caron"
"u/13f","Ŀ","latin capital letter l with middle dot"
"u/140","ŀ","latin small letter l with middle dot"
"u/141","Ł","latin capital letter l with stroke"
"u/142","ł","latin small letter l with stroke"
"u/143","Ń","latin capital letter n with acute"
"u/144","ń","latin small letter n with acute"
"u/145","Ņ","latin capital letter n with cedilla"
"u/146","ņ","latin small letter n with cedilla"
"u/147","Ň","latin capital letter n with caron"
"u/148","ň","latin small letter n with caron"
"u/149","ŉ","latin small letter n preceded by apostrophe"
"u/14a","Ŋ","latin capital letter eng"
"u/14b","ŋ","latin small letter eng"
"u/14c","Ō","latin capital letter o with macron"
"u/14d","ō","latin small letter o with macron"
"u/14e","Ŏ","latin capital letter o with breve"
"u/14f","ŏ","latin small letter o with breve"
"u/150","Ő","latin capital letter o with double acute"
"u/151","ő","latin small letter o with double acute"
"u/152","Œ","latin capital ligature oe"
"u/153","œ","latin small ligature oe"
"u/154","Ŕ","latin capital letter r with acute"
"u/155","ŕ","latin small letter r with acute"
"u/156","Ŗ","latin capital letter r with cedilla"
"u/157","ŗ","latin small letter r with cedilla"
"u/158","Ř","latin capital letter r with caron"
"u/159","ř","latin small letter r with caron"
"u/15a","Ś","latin capital letter s with acute"
"u/15b","ś","latin small letter s with acute"
"u/15c","Ŝ","latin capital letter s with circumflex"
"u/15d","ŝ","latin small letter s with circumflex"
"u/15e","Ş","latin capital letter s with cedilla"
"u/15f","ş","latin small letter s with cedilla"
"u/160","Š","latin capital letter s with caron"
"u/161","š","latin small letter s with caron"
"u/162","Ţ","latin capital letter t with cedilla"
"u/163","ţ","latin small letter t with cedilla"
"u/164","Ť","latin capital letter t with caron"
"u/165","ť","latin small letter t with caron"
"u/166","Ŧ","latin capital letter t with stroke"
"u/167","ŧ","latin small letter t with stroke"
"u/168","Ũ","latin capital letter u with tilde"
"u/169","ũ","latin small letter u with tilde"
"u/16a","Ū","latin capital letter u with macron"
"u/16b","ū","latin small letter u with macron"
"u/16c","Ŭ","latin capital letter u with breve"
"u/16d","ŭ","latin small letter u with breve"
"u/16e","Ů","latin capital letter u with ring above"
"u/16f","ů","latin small letter u with ring above"
"u/170","Ű","latin capital letter u with double acute"
"u/171","ű","latin small letter u with double acute"
"u/172","Ų","latin capital letter u with ogonek"
"u/173","ų","latin small letter u with ogonek"
"u/174","Ŵ","latin capital letter w with circumflex"
"u/175","ŵ","latin small letter w with circumflex"
"u/176","Ŷ","latin capital letter y with circumflex"
"u/177","ŷ","latin small letter y with circumflex"
"u/178","Ÿ","latin capital letter y with diaeresis"
"u/179","Ź","latin capital letter z with acute"
"u/17a","ź","latin small letter z with acute"
"u/17b","Ż","latin capital letter z with dot above"
"u/17c","ż","latin small letter z with dot above"
"u/17d","Ž","latin capital letter z with caron"
"u/17e","ž","latin small letter z with caron"
"u/17f","ſ","latin small letter long s"
"u/180","ƀ","latin small letter b with stroke"
"u/181","Ɓ","latin capital letter b with hook"
"u/182","Ƃ","latin capital letter b with topbar"
"u/183","ƃ","latin small letter b with topbar"
"u/184","Ƅ","latin capital letter tone six"
"u/185","ƅ","latin small letter tone six"
"u/186","Ɔ","latin capital letter open o"
"u/187","Ƈ","latin capital letter c with hook"
"u/188","ƈ","latin small letter c with hook"
"u/189","Ɖ","latin capital letter african d"
"u/18a","Ɗ","latin capital letter d with hook"
"u/18b","Ƌ","latin capital letter d with topbar"
"u/18c","ƌ","latin small letter d with topbar"
"u/18d","ƍ","latin small letter turned delta"
"u/18e","Ǝ","latin capital letter reversed e"
"u/18f","Ə","latin capital letter schwa"
"u/190","Ɛ","latin capital letter open e"
"u/191","Ƒ","latin capital letter f with hook"
"u/192","ƒ","latin small letter f with hook"
"u/193","Ɠ","latin capital letter g with hook"
"u/194","Ɣ","latin capital letter gamma"
"u/195","ƕ","latin small letter hv"
"u/196","Ɩ","latin capital letter iota"
"u/197","Ɨ","latin capital letter i with stroke"
"u/198","Ƙ","latin capital letter k with hook"
"u/199","ƙ","latin small letter k with hook"
"u/19a","ƚ","latin small letter l with bar"
"u/19b","ƛ","latin small letter lambda with stroke"
"u/19c","Ɯ","latin capital letter turned m"
"u/19d","Ɲ","latin capital letter n with left hook"
"u/19e","ƞ","latin small letter n with long right leg"
"u/19f","Ɵ","latin capital letter o with middle tilde"
"u/1a0","Ơ","latin capital letter o with horn"
"u/1a1","ơ","latin small letter o with horn"
"u/1a2","Ƣ","latin capital letter oi"
"u/1a3","ƣ","latin small letter oi"
"u/1a4","Ƥ","latin capital letter p with hook"
"u/1a5","ƥ","latin small letter p with hook"
"u/1a6","Ʀ","latin letter yr"
"u/1a7","Ƨ","latin capital letter tone two"
"u/1a8","ƨ","latin small letter tone two"
"u/1a9","Ʃ","latin capital letter esh"
"u/1aa","ƪ","latin letter reversed esh loop"
"u/1ab","ƫ","latin small letter t with palatal hook"
"u/1ac","Ƭ","latin capital letter t with hook"
"u/1ad","ƭ","latin small letter t with hook"
"u/1ae","Ʈ","latin capital letter t with retroflex hook"
"u/1af","Ư","latin capital letter u with horn"
"u/1b0","ư","latin small letter u with horn"
"u/1b1","Ʊ","latin capital letter upsilon"
"u/1b2","Ʋ","latin capital letter v with hook"
"u/1b3","Ƴ","latin capital letter y with hook"
"u/1b4","ƴ","latin small letter y with hook"
"u/1b5","Ƶ","latin capital letter z with stroke"
"u/1b6","ƶ","latin small letter z with stroke"
"u/1b7","Ʒ","latin capital letter ezh"
"u/1b8","Ƹ","latin capital letter ezh reversed"
"u/1b9","ƹ","latin small letter ezh reversed"
"u/1ba","ƺ","latin small letter ezh with tail"
"u/1bb","ƻ","latin letter two with stroke"
"u/1bc","Ƽ","latin capital letter tone five"
"u/1bd","ƽ","latin small letter tone five"
"u/1be","ƾ","latin letter inverted glottal stop with stroke"
"u/1bf","ƿ","latin letter wynn"
"u/1c0","ǀ","latin letter dental click"
"u/1c1","ǁ","latin letter lateral click"
"u/1c2","ǂ","latin letter alveolar click"
"u/1c3","ǃ","latin letter retroflex click"
"u/1c4","Ǆ","latin capital letter dz with caron"
"u/1c5","ǅ","latin capital letter d with small letter z with caron"
"u/1c6","ǆ","latin small letter dz with caron"
"u/1c7","Ǉ","latin capital letter lj"
"u/1c8","ǈ","latin capital letter l with small letter j"
"u/1c9","ǉ","latin small letter lj"
"u/1ca","Ǌ","latin capital letter nj"
"u/1cb","ǋ","latin capital letter n with small letter j"
"u/1cc","ǌ","latin small letter nj"
"u/1cd","Ǎ","latin capital letter a with caron"
"u/1ce","ǎ","latin small letter a with caron"
"u/1cf","Ǐ","latin capital letter i with caron"
"u/1d0","ǐ","latin small letter i with caron"
"u/1d1","Ǒ","latin capital letter o with caron"
"u/1d2","ǒ","latin small letter o with caron"
"u/1d3","Ǔ","latin capital letter u with caron"
"u/1d4","ǔ","latin small letter u with caron"
"u/1d5","Ǖ","latin capital letter u with diaeresis and macron"
"u/1d6","ǖ","latin small letter u with diaeresis and macron"
"u/1d7","Ǘ","latin capital letter u with diaeresis and acute"
"u/1d8","ǘ","latin small letter u with diaeresis and acute"
"u/1d9","Ǚ","latin capital letter u with diaeresis and caron"
"u/1da","ǚ","latin small letter u with diaeresis and caron"
"u/1db","Ǜ","latin capital letter u with diaeresis and grave"
"u/1dc","ǜ","latin small letter u with diaeresis and grave"
"u/1dd","ǝ","latin small letter turned e"
"u/1de","Ǟ","latin capital letter a with diaeresis and macron"
"u/1df","ǟ","latin small letter a with diaeresis and macron"
"u/1e0","Ǡ","latin capital letter a with dot above and macron"
"u/1e1","ǡ","latin small letter a with dot above and macron"
"u/1e2","Ǣ","latin capital letter ae with macron"
"u/1e3","ǣ","latin small letter ae with macron"
"u/1e4","Ǥ","latin capital letter g with stroke"
"u/1e5","ǥ","latin small letter g with stroke"
"u/1e6","Ǧ","latin capital letter g with caron"
"u/1e7","ǧ","latin small letter g with caron"
"u/1e8","Ǩ","latin capital letter k with caron"
"u/1e9","ǩ","latin small letter k with caron"
"u/1ea","Ǫ","latin capital letter o with ogonek"
"u/1eb","ǫ","latin small letter o with ogonek"
"u/1ec","Ǭ","latin capital letter o with ogonek and macron"
"u/1ed","ǭ","latin small letter o with ogonek and macron"
"u/1ee","Ǯ","latin capital letter ezh with caron"
"u/1ef","ǯ","latin small letter ezh with caron"
"u/1f0","ǰ","latin small letter j with caron"
"u/1f1","Ǳ","latin capital letter dz"
"u/1f2","ǲ","latin capital letter d with small letter z"
"u/1f3","ǳ","latin small letter dz"
"u/1f4","Ǵ","latin capital letter g with acute"
"u/1f5","ǵ","latin small letter g with acute"
"u/1f6","Ƕ","latin capital letter hwair"
"u/1f7","Ƿ","latin capital letter wynn"
"u/1f8","Ǹ","latin capital letter n with grave"
"u/1f9","ǹ","latin small letter n with grave"
"u/1fa","Ǻ","latin capital letter a with ring above and acute"
"u/1fb","ǻ","latin small letter a with ring above and acute"
"u/1fc","Ǽ","latin capital letter ae with acute"
"u/1fd","ǽ","latin small letter ae with acute"
"u/1fe","Ǿ","latin capital letter o with stroke and acute"
"u/1ff","ǿ","latin small letter o with stroke and acute"
"u/200","Ȁ","latin capital letter a with double grave"
"u/201","ȁ","latin small letter a with double grave"
"u/202","Ȃ","latin capital letter a with inverted breve"
"u/203","ȃ","latin small letter a with inverted breve"
"u/204","Ȅ","latin capital letter e with double grave"
"u/205","ȅ","latin small letter e with double grave"
"u/206","Ȇ","latin capital letter e with inverted breve"
"u/207","ȇ","latin small letter e with inverted breve"
"u/208","Ȉ","latin capital letter i with double grave"
"u/209","ȉ","latin small letter i with double grave"
"u/20a","Ȋ","latin capital letter i with inverted breve"
"u/20b","ȋ","latin small letter i with inverted breve"
"u/20c","Ȍ","latin capital letter o with double grave"
"u/20d","ȍ","latin small letter o with double grave"
"u/20e","Ȏ","latin capital letter o with inverted breve"
"u/20f","ȏ","latin small letter o with inverted breve"
"u/210","Ȑ","latin capital letter r with double grave"
"u/211","ȑ","latin small letter r with double grave"
"u/212","Ȓ","latin capital letter r with inverted breve"
"u/213","ȓ","latin small letter r with inverted breve"
"u/214","Ȕ","latin capital letter u with double grave"
"u/215","ȕ","latin small letter u with double grave"
"u/216","Ȗ","latin capital letter u with inverted breve"
"u/217","ȗ","latin small letter u with inverted breve"
"u/218","Ș","latin capital letter s with comma below"
"u/219","ș","latin small letter s with comma below"
"u/21a","Ț","latin capital letter t with comma below"
"u/21b","ț","latin small letter t with comma below"
"u/21c","Ȝ","latin capital letter yogh"
"u/21d","ȝ","latin small letter yogh"
"u/21e","Ȟ","latin capital letter h with caron"
"u/21f","ȟ","latin small letter h with caron"
"u/220","Ƞ","latin capital letter n with long right leg"
"u/221","ȡ","latin small letter d with curl"
"u/222","Ȣ","latin capital letter ou"
"u/223","ȣ","latin small letter ou"
"u/224","Ȥ","latin capital letter z with hook"
"u/225","ȥ","latin small letter z with hook"
"u/226","Ȧ","latin capital letter a with dot above"
"u/227","ȧ","latin small letter a with dot above"
"u/228","Ȩ","latin capital letter e with cedilla"
"u/229","ȩ","latin small letter e with cedilla"
"u/22a","Ȫ","latin capital letter o with diaeresis and macron"
"u/22b","ȫ","latin small letter o with diaeresis and macron"
"u/22c","Ȭ","latin capital letter o with tilde and macron"
"u/22d","ȭ","latin small letter o with tilde and macron"
"u/22e","Ȯ","latin capital letter o with dot above"
"u/22f","ȯ","latin small letter o with dot above"
"u/230","Ȱ","latin capital letter o with dot above and macron"
"u/231","ȱ","latin small letter o with dot above and macron"
"u/232","Ȳ","latin capital letter y with macron"
"u/233","ȳ","latin small letter y with macron"
"u/234","ȴ","latin small letter l with curl"
"u/235","ȵ","latin small letter n with curl"
"u/236","ȶ","latin small letter t with curl"
"u/237","ȷ","latin small letter dotless j"
"u/238","ȸ","latin small letter db digraph"
"u/239","ȹ","latin small letter qp digraph"
"u/23a","Ⱥ","latin capital letter a with stroke"
"u/23b","Ȼ","latin capital letter c with stroke"
"u/23c","ȼ","latin small letter c with stroke"
"u/23d","Ƚ","latin capital letter l with bar"
"u/23e","Ⱦ","latin capital letter t with diagonal stroke"
"u/23f","ȿ","latin small letter s with swash tail"
"u/240","ɀ","latin small letter z with swash tail"
"u/241","Ɂ","latin capital letter glottal stop"
"u/242","ɂ","latin small letter glottal stop"
"u/243","Ƀ","latin capital letter b with stroke"
"u/244","Ʉ","latin capital letter u bar"
"u/245","Ʌ","latin capital letter turned v"
"u/246","Ɇ","latin capital letter e with stroke"
"u/247","ɇ","latin small letter e with stroke"
"u/248","Ɉ","latin capital letter j with stroke"
"u/249","ɉ","latin small letter j with stroke"
"u/24a","Ɋ","latin capital letter small q with hook tail"
"u/24b","ɋ","latin small letter q with hook tail"
"u/24c","Ɍ","latin capital letter r with stroke"
"u/24d","ɍ","latin small letter r with stroke"
"u/24e","Ɏ","latin capital letter y with stroke"
"u/24f","ɏ","latin small letter y with stroke"
"u/250","ɐ","latin small letter turned a"
"u/251","ɑ","latin small letter alpha"
"u/252","ɒ","latin small letter turned alpha"
"u/253","ɓ","latin small letter b with hook"
"u/254","ɔ","latin small letter open o"
"u/255","ɕ","latin small letter c with curl"
"u/256","ɖ","latin small letter d with tail"
"u/257","ɗ","latin small letter d with hook"
"u/258","ɘ","latin small letter reversed e"
"u/259","ə","latin small letter schwa"
"u/25a","ɚ","latin small letter schwa with hook"
"u/25b","ɛ","latin small letter open e"
"u/25c","ɜ","latin small letter reversed open e"
"u/25d","ɝ","latin small letter reversed open e with hook"
"u/25e","ɞ","latin small letter closed reversed open e"
"u/25f","ɟ","latin small letter dotless j with stroke"
"u/260","ɠ","latin small letter g with hook"
"u/261","ɡ","latin small letter script g"
"u/262","ɢ","latin letter small capital g"
"u/263","ɣ","latin small letter gamma"
"u/264","ɤ","latin small letter rams horn"
"u/265","ɥ","latin small letter turned h"
"u/266","ɦ","latin small letter h with hook"
"u/267","ɧ","latin small letter heng with hook"
"u/268","ɨ","latin small letter i with stroke"
"u/269","ɩ","latin small letter iota"
"u/26a","ɪ","latin letter small capital i"
"u/26b","ɫ","latin small letter l with middle tilde"
"u/26c","ɬ","latin small letter l with belt"
"u/26d","ɭ","latin small letter l with retroflex hook"
"u/26e","ɮ","latin small letter lezh"
"u/26f","ɯ","latin small letter turned m"
"u/270","ɰ","latin small letter turned m with long leg"
"u/271","ɱ","latin small letter m with hook"
"u/272","ɲ","latin small letter n with left hook"
"u/273","ɳ","latin small letter n with retroflex hook"
"u/274","ɴ","latin letter small capital n"
"u/275","ɵ","latin small letter barred o"
"u/276","ɶ","latin letter small capital oe"
"u/277","ɷ","latin small letter closed omega"
"u/278","ɸ","latin small letter phi"
"u/279","ɹ","latin small letter turned r"
"u/27a","ɺ","latin small letter turned r with long leg"
"u/27b","ɻ","latin small letter turned r with hook"
"u/27c","ɼ","latin small letter r with long leg"
"u/27d","ɽ","latin small letter r with tail"
"u/27e","ɾ","latin small letter r with fishhook"
"u/27f","ɿ","latin small letter reversed r with fishhook"
"u/280","ʀ","latin letter small capital r"
"u/281","ʁ","latin letter small capital inverted r"
"u/282","ʂ","latin small letter s with hook"
"u/283","ʃ","latin small letter esh"
"u/284","ʄ","latin small letter dotless j with stroke and hook"
"u/285","ʅ","latin small letter squat reversed esh"
"u/286","ʆ","latin small letter esh with curl"
"u/287","ʇ","latin small letter turned t"
"u/288","ʈ","latin small letter t with retroflex hook"
"u/289","ʉ","latin small letter u bar"
"u/28a","ʊ","latin small letter upsilon"
"u/28b","ʋ","latin small letter v with hook"
"u/28c","ʌ","latin small letter turned v"
"u/28d","ʍ","latin small letter turned w"
"u/28e","ʎ","latin small letter turned y"
"u/28f","ʏ","latin letter small capital y"
"u/290","ʐ","latin small letter z with retroflex hook"
"u/291","ʑ","latin small letter z with curl"
"u/292","ʒ","latin small letter ezh"
"u/293","ʓ","latin small letter ezh with curl"
"u/294","ʔ","latin letter glottal stop"
"u/295","ʕ","latin letter pharyngeal voiced fricative"
"u/296","ʖ","latin letter inverted glottal stop"
"u/297","ʗ","latin letter stretched c"
"u/298","ʘ","latin letter bilabial click"
"u/299","ʙ","latin letter small capital b"
"u/29a","ʚ","latin small letter closed open e"
"u/29b","ʛ","latin letter small capital g with hook"
"u/29c","ʜ","latin letter small capital h"
"u/29d","ʝ","latin small letter j with crossed-tail"
"u/29e","ʞ","latin small letter turned k"
"u/29f","ʟ","latin letter small capital l"
"u/2a0","ʠ","latin small letter q with hook"
"u/2a1","ʡ","latin letter glottal stop with stroke"
"u/2a2","ʢ","latin letter reversed glottal stop with stroke"
"u/2a3","ʣ","latin small letter dz digraph"
"u/2a4","ʤ","latin small letter dezh digraph"
"u/2a5","ʥ","latin small letter dz digraph with curl"
"u/2a6","ʦ","latin small letter ts digraph"
"u/2a7","ʧ","latin small letter tesh digraph"
"u/2a8","ʨ","latin small letter tc digraph with curl"
"u/2a9","ʩ","latin small letter feng digraph"
"u/2aa","ʪ","latin small letter ls digraph"
"u/2ab","ʫ","latin small letter lz digraph"
"u/2ac","ʬ","latin letter bilabial percussive"
"u/2ad","ʭ","latin letter bidental percussive"
"u/2ae","ʮ","latin small letter turned h with fishhook"
"u/2af","ʯ","latin small letter turned h with fishhook and tail"
"u/2b0","ʰ","modifier letter small h"
"u/2b1","ʱ","modifier letter small h with hook"
"u/2b2","ʲ","modifier letter small j"
"u/2b3","ʳ","modifier letter small r"
"u/2b4","ʴ","modifier letter small turned r"
"u/2b5","ʵ","modifier letter small turned r with hook"
"u/2b6","ʶ","modifier letter small capital inverted r"
"u/2b7","ʷ","modifier letter small w"
"u/2b8","ʸ","modifier letter small y"
"u/2b9","ʹ","modifier letter prime"
"u/2ba","ʺ","modifier letter double prime"
"u/2bb","ʻ","modifier letter turned comma"
"u/2bc","ʼ","modifier letter apostrophe"
"u/2bd","ʽ","modifier letter reversed comma"
